,0,1,2,3,4
0,5.00000,4.00000,5.00000,5.00000,3.00000
1,10.56941,8.45553,10.56941,10.56941,6.34165
2,12.76631,10.21304,12.76631,12.76631,7.65978
3,12.28427,9.82742,12.28427,12.28427,7.37056
4,11.15518,8.92415,11.15518,11.15518,6.69311
5,11.56149,9.24919,11.56149,11.56149,6.93689
6,14.03101,11.22481,14.03101,14.03101,8.41861
7,17.03967,13.63174,17.03967,17.03967,10.22381
8,18.45952,14.76762,18.45952,18.45952,11.07571
9,17.54322,14.03458,17.54322,17.54322,10.52593
10,3.63995,2.91196,3.63995,3.63995,2.18397
11,5.96576,4.77261,5.96576,5.96576,3.57946
12,9.15163,7.32130,9.15163,9.15163,5.49098
13,12.98189,10.38551,12.98189,12.98189,7.78913
14,15.52371,12.41897,15.52371,15.52371,9.31423
15,15.58452,12.46761,15.58452,15.58452,9.35071
16,14.00979,11.20783,14.00979,14.00979,8.40588
17,12.99371,10.39497,12.99371,12.99371,7.79623
18,14.10866,11.28692,14.10866,14.10866,8.46519
19,16.88762,13.51010,16.88762,16.88762,10.13257
20,7.28236,5.82589,7.28236,7.28236,4.36942
21,10.55738,8.44590,10.55738,10.55738,6.33443
22,10.47093,8.37675,10.47093,10.47093,6.28256
23,9.81592,7.85274,9.81592,9.81592,5.88955
24,10.78324,8.62660,10.78324,10.78324,6.46995
25,13.62792,10.90233,13.62792,13.62792,8.17675
26,16.63595,13.30876,16.63595,16.63595,9.98157
27,17.78815,14.23052,17.78815,17.78815,10.67289
28,16.66339,13.33071,16.66339,16.66339,9.99803
29,14.85384,11.88307,14.85384,14.85384,8.91230
30,2.52992,2.02394,2.52992,2.52992,1.51795
31,7.45564,5.96451,7.45564,7.45564,4.47339
32,11.87163,9.49730,11.87163,11.87163,7.12298
33,14.43125,11.54500,14.43125,14.43125,8.65875
34,14.36990,11.49592,14.36990,14.36990,8.62194
35,12.88834,10.31067,12.88834,12.88834,7.73300
36,12.25010,9.80008,12.25010,12.25010,7.35006
37,13.78836,11.03069,13.78836,13.78836,8.27302
38,16.72704,13.38164,16.72704,16.72704,10.03623
39,18.92241,15.13793,18.92241,18.92241,11.35345
40,6.86278,5.49023,6.86278,6.86278,4.11767
41,8.06918,6.45534,8.06918,8.06918,4.84151
42,8.20176,6.56141,8.20176,8.20176,4.92106
43,9.85204,7.88163,9.85204,9.85204,5.91122
44,13.09144,10.47316,13.09144,13.09144,7.85487
45,16.08606,12.86885,16.08606,16.08606,9.65163
46,16.98402,13.58722,16.98402,16.98402,10.19041
47,15.70614,12.56491,15.70614,15.70614,9.42368
48,14.06549,11.25239,14.06549,14.06549,8.43929
49,14.12854,11.30284,14.12854,14.12854,8.47713
50,4.34406,3.47525,4.34406,4.34406,2.60644
51,10.14131,8.11305,10.14131,10.14131,6.08479
52,12.95963,10.36770,12.95963,12.95963,7.77578
53,12.92129,10.33703,12.92129,12.92129,7.75277
54,11.65022,9.32017,11.65022,11.65022,6.99013
55,11.45941,9.16753,11.45941,11.45941,6.87565
56,13.42567,10.74054,13.42567,13.42567,8.05540
57,16.48762,13.19010,16.48762,16.48762,9.89257
58,18.46831,14.77464,18.46831,18.46831,11.08098
59,18.10477,14.48382,18.10477,18.10477,10.86286
60,4.23797,3.39038,4.23797,4.23797,2.54278
61,6.05044,4.84035,6.05044,6.05044,3.63027
62,8.64511,6.91609,8.64511,8.64511,5.18707
63,12.34986,9.87989,12.34986,12.34986,7.40992
64,15.34726,12.27780,15.34726,15.34726,9.20835
65,16.02587,12.82070,16.02587,16.02587,9.61552
66,14.66317,11.73054,14.66317,14.66317,8.79790
67,13.25841,10.60673,13.25841,13.25841,7.95505
68,13.74130,10.99304,13.74130,13.74130,8.24478
69,16.22596,12.98077,16.22596,16.22596,9.73558
70,6.93473,5.54778,6.93473,6.93473,4.16084
71,10.84337,8.67470,10.84337,10.84337,6.50602
72,11.12762,8.90210,11.12762,11.12762,6.67657
73,10.23954,8.19163,10.23954,10.23954,6.14373
74,10.58432,8.46746,10.58432,10.58432,6.35059
75,12.98934,10.39148,12.98934,12.98934,7.79361
76,16.14482,12.91586,16.14482,16.14482,9.68689
77,17.89601,14.31681,17.89601,17.89601,10.73761
78,17.27107,13.81686,17.27107,17.27107,10.36264
79,15.40264,12.32212,15.40264,15.40264,9.24159
80,2.51528,2.01222,2.51528,2.51528,1.50917
81,6.89102,5.51281,6.89102,6.89102,4.13461
82,11.27613,9.02091,11.27613,11.27613,6.76568
83,14.35238,11.48191,14.35238,14.35238,8.61143
84,14.88017,11.90413,14.88017,14.88017,8.92810
85,13.51861,10.81489,13.51861,13.51861,8.11117
86,12.42091,9.93672,12.42091,12.42091,7.45254
87,13.34266,10.67413,13.34266,13.34266,8.00560
88,16.07462,12.85970,16.07462,16.07462,9.64477
89,18.66310,14.93048,18.66310,18.66310,11.19786
90,7.23499,5.78799,7.23499,7.23499,4.34100
91,8.73071,6.98456,8.73071,8.73071,5.23842
92,8.54440,6.83552,8.54440,8.54440,5.12664
93,9.56077,7.64861,9.56077,9.56077,5.73646
94,12.43406,9.94725,12.43406,12.43406,7.46044
95,15.66695,12.53356,15.66695,15.66695,9.40017
96,17.18852,13.75082,17.18852,17.18852,10.31311
97,16.34623,13.07698,16.34623,16.34623,9.80774
98,14.55267,11.64214,14.55267,14.55267,8.73160
